时间(s)	位置x	位置y	位置z	phi	psi	gm	q0	q1	q2	q3	速度x	速度y	速度z	俯仰角	方位角	纬度	经度	高度
0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	23.007882	123.800000	10000.000
0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	85	10	23.007762	123.801487	10000.000
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	20	23.007407	123.802929	10000.000
0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	85	30	23.006826	123.804281	10000.000
0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	85	40	23.006038	123.805504	10000.000
0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	85	50	23.005066	123.806559	10000.000
0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	85	60	23.003941	123.807415	10000.000
0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	85	70	23.002696	123.808046	10000.000
0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	85	80	23.001369	123.808432	10000.000
0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	85	90	23.000000	123.808563	10000.000
1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	100	22.998631	123.808432	10000.000
1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	85	110	22.997304	123.808046	10000.000
1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	120	22.996059	123.807415	10000.000
1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	85	130	22.994934	123.806559	10000.000
1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	85	140	22.993962	123.805504	10000.000
1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	85	150	22.993174	123.804281	10000.000
1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	85	160	22.992593	123.802929	10000.000
1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	85	170	22.992238	123.801487	10000.000
1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	85	180	22.992118	123.800000	10000.000
1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	85	190	22.992238	123.798513	10000.000
2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	200	22.992593	123.797071	10000.000
2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	85	210	22.993174	123.795719	10000.000
2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	220	22.993962	123.794496	10000.000
2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	85	230	22.994934	123.793441	10000.000
2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	85	240	22.996059	123.792585	10000.000
2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	85	250	22.997304	123.791954	10000.000
2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	85	260	22.998631	123.791568	10000.000
2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	85	270	23.000000	123.791437	10000.000
2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	85	280	23.001369	123.791568	10000.000
2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	85	290	23.002696	123.791954	10000.000
3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	300	23.003941	123.792585	10000.000
3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	85	310	23.005066	123.793441	10000.000
3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	320	23.006038	123.794496	10000.000
3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	85	330	23.006826	123.795719	10000.000
3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	85	340	23.007407	123.797071	10000.000
3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	85	350	23.007762	123.798513	10000.000
